"ID","Matter","1) Create file","Date 1","3) New form","Date 3","2) Engagement letter","Date 2","4) Bill4time & M-Files","Date 4","5) Pre-Bill","Date 5","6) Issue invoices 1","Date 6","7) Send letter & invoice","Date 7","8) Receive letter","Date 8","9) Receive payment 1","Date 9","10) Matter end","Date 10","11) Last judgment","Date 11","12) Entering expenses","Date 12","13) Issue invoices 2","Date 13","14) Receive payment 2","Date 14"
59,"302 / 2018 (????????)","Created",,"Created",,"Done",,"Done",,"Approved",,"Done",,"Sent",,"Not received",,,,"Ended",4/12/2018 0:00:00,"Done",,"Done",21/1/2019 0:00:00,,,,
60,"595 / 2016","Created",,"Created",,"Done",3/1/2017 0:00:00,"Done",,"Approved",,"Done",5/2/2017 0:00:00,"Sent",,"Not received",,"Received",30/8/2018 0:00:00,"Ended",27/11/2018 0:00:00,"Done",12/12/2018 0:00:00,"Done",23/12/2018 0:00:00,"Done",24/12/2018 0:00:00,"Not received",
61,"595 / 2016 -6414 / 22?? 327 / 23?","Created",25/12/2018 0:00:00,"Not created",,"Done",25/12/2018 0:00:00,,,,,,,,,,,,,,,,,,,,,,
62,"1064 / 2015 -
173 / 52?","Created",,"Created",,"Done",,"Done",,"Approved",,"Done",,"Sent",,,,"Received",,"Ended",26/12/2018 0:00:00,"Done",13/1/2019 0:00:00,"Working",,,,,
63,"6343 / 2013",,,,,,,,,,,,,,,,,"Not received",,"Ended",25/12/2018 0:00:00,"Done",9/1/2019 0:00:00,"Done",21/1/2019 0:00:00,,,,
64,"1026 / 2010 -
6162 / 22?","Created",,"Created",9/1/2019 0:00:00,"Done",9/1/2019 0:00:00,"Done",9/1/2019 0:00:00,"Approved",10/1/2019 0:00:00,"Done",10/1/2019 0:00:00,,,,,,,,,,,,,,,,
65,"1065 / 2015 -
1587 / 51?","Created",,,,"Not required",,,,,,,,,,,,,,,,,,,,,,,
66,"1305 / 2017-
136? 161 / 52?","Created",,"Created",,"Not required",,"Done",,"Not required",,"Not required",,"Not Required",,"Not Required",,"Not required",,"Ended",26/12/2018 0:00:00,"Done",13/1/2019 0:00:00,"Working",,,,,
75,"1426 / 2014","Created",,"Created",,"Done",,"Done",,"Approved",,"Done",,"Sent",,,,"Received",,"Ended",,"Done",16/1/2019 0:00:00,"Done",21/1/2019 0:00:00,,,,
76,"52896 / 2013 - 
9886 / 2014","Created",,"Created",,"Done",,"Done",,"Approved",,"Done",,"Sent",,,,"Received",,"Ended",,,,"Done",,,,,
77,"3965 / 2010 - 
799 / 3? - 
770 / 7?",,,,,,,,,,,,,,,,,,,,,,,"Done",21/1/2019 0:00:00,,,,
78,"8369 / 85?","Created",,"Created",,"Done",,"Done",,"Approved",,"Done",7/7/2015 0:00:00,,,,,"Received",14/7/2015 0:00:00,"Still working",,,,,,,,,
79,"4582 / 10? ???????????","Created",,"Created",,"Done",,,,,,,,,,,,,,,,,,,,,,,
80,"3659 / 2018-
112 / 23?","Created",,,,"Postponed",,,,,,,,,,,,,,,,,,,,,,,
81,"488 / 2016 -
512 / 2018","Created",12/2/2019 0:00:00,"Created",11/2/2019 0:00:00,"Done",3/2/2019 0:00:00,"Done",11/2/2019 0:00:00,"Approved",11/2/2019 0:00:00,"Done",11/2/2019 0:00:00,,,,,"Not received",,,,,,,,,,,
