"matterID","FirstHearingDate"
200,27/12/2014 0:00:00
201,8/8/2017 0:00:00
202,17/10/2011 0:00:00
203,4/8/2011 0:00:00
204,27/3/2010 0:00:00
205,5/8/2014 0:00:00
207,28/12/2009 0:00:00
208,31/1/2019 0:00:00
209,1/2/2016 0:00:00
210,31/1/2010 0:00:00
211,8/2/2017 0:00:00
212,27/1/2013 0:00:00
213,9/1/2018 0:00:00
214,13/11/2014 0:00:00
215,28/12/2010 0:00:00
216,13/1/2016 0:00:00
217,1/2/2014 0:00:00
218,11/4/2017 0:00:00
219,20/7/2019 0:00:00
220,23/9/2010 0:00:00
221,5/11/2020 0:00:00
222,21/4/2016 0:00:00
223,12/6/2010 0:00:00
224,29/5/2019 0:00:00
225,30/7/2016 0:00:00
226,28/3/2011 0:00:00
227,30/5/2019 0:00:00
228,29/5/2019 0:00:00
229,17/5/2014 0:00:00
230,11/7/2018 0:00:00
231,30/5/2019 0:00:00
232,26/5/2019 0:00:00
233,27/5/2019 0:00:00
234,19/10/2017 0:00:00
235,9/2/2015 0:00:00
236,9/11/2020 0:00:00
237,25/5/2019 0:00:00
238,30/5/2019 0:00:00
239,18/6/2019 0:00:00
240,11/6/2019 0:00:00
241,9/11/2017 0:00:00
242,10/6/2019 0:00:00
243,7/4/2011 0:00:00
244,11/6/2019 0:00:00
245,12/6/2019 0:00:00
246,13/6/2019 0:00:00
247,1/7/2019 0:00:00
248,22/9/2020 0:00:00
252,4/8/2016 0:00:00
253,15/9/2020 0:00:00
254,4/1/2017 0:00:00
256,2/1/2018 0:00:00
257,18/6/2019 0:00:00
258,14/3/2015 0:00:00
259,12/11/2014 0:00:00
260,24/10/2015 0:00:00
261,3/12/2014 0:00:00
262,10/12/2014 0:00:00
263,19/3/2011 0:00:00
264,21/1/2014 0:00:00
265,24/11/2019 0:00:00
266,29/9/2019 0:00:00
267,1/10/2019 0:00:00
268,14/4/2013 0:00:00
269,18/9/2016 0:00:00
270,8/10/2017 0:00:00
272,18/6/2019 0:00:00
273,30/11/2020 0:00:00
274,9/6/2011 0:00:00
275,30/11/2020 0:00:00
276,24/5/2014 0:00:00
277,6/5/2012 0:00:00
278,4/6/2011 0:00:00
279,30/11/2020 0:00:00
280,5/2/2015 0:00:00
281,26/11/2014 0:00:00
282,18/6/2019 0:00:00
283,17/12/2014 0:00:00
284,27/4/2020 0:00:00
285,12/9/2011 0:00:00
286,29/10/2016 0:00:00
287,22/3/2015 0:00:00
288,4/10/2011 0:00:00
289,18/1/2011 0:00:00
290,22/3/2015 0:00:00
291,25/6/2014 0:00:00
292,27/4/2013 0:00:00
293,7/12/2020 0:00:00
294,28/10/2014 0:00:00
295,21/2/2015 0:00:00
296,10/12/2020 0:00:00
297,10/12/2014 0:00:00
298,7/12/2020 0:00:00
299,10/12/2020 0:00:00
300,3/12/2014 0:00:00
301,7/12/2020 0:00:00
302,7/12/2020 0:00:00
303,7/12/2020 0:00:00
305,4/6/2014 0:00:00
306,20/7/2019 0:00:00
307,7/12/2020 0:00:00
308,10/12/2020 0:00:00
309,7/12/2020 0:00:00
310,22/3/2018 0:00:00
311,21/1/2010 0:00:00
312,1/8/2016 0:00:00
313,21/12/2009 0:00:00
314,22/7/2015 0:00:00
315,13/2/2013 0:00:00
316,16/9/2014 0:00:00
317,16/9/2014 0:00:00
318,29/1/2019 0:00:00
319,8/11/2016 0:00:00
320,5/12/2017 0:00:00
321,16/3/2015 0:00:00
323,20/11/2014 0:00:00
324,10/4/2017 0:00:00
325,10/4/2017 0:00:00
326,3/5/2016 0:00:00
327,6/11/2019 0:00:00
328,10/7/2017 0:00:00
329,23/12/2018 0:00:00
330,19/2/2020 0:00:00
331,4/3/2013 0:00:00
332,19/11/2016 0:00:00
333,26/10/2013 0:00:00
334,3/12/2014 0:00:00
335,3/7/2017 0:00:00
336,14/1/2017 0:00:00
337,6/9/2010 0:00:00
338,12/9/2017 0:00:00
339,14/9/2017 0:00:00
340,9/9/2017 0:00:00
341,22/11/2017 0:00:00
342,1/8/2019 0:00:00
343,10/12/2020 0:00:00
344,4/12/2016 0:00:00
345,4/2/2020 0:00:00
346,4/2/2015 0:00:00
347,4/2/2020 0:00:00
348,24/10/2011 0:00:00
349,28/6/2014 0:00:00
350,25/9/2017 0:00:00
351,16/3/2016 0:00:00
352,24/9/2017 0:00:00
353,21/5/2014 0:00:00
354,6/2/2018 0:00:00
355,21/5/2014 0:00:00
356,28/3/2019 0:00:00
357,5/12/2013 0:00:00
358,3/12/2017 0:00:00
359,28/10/2014 0:00:00
360,9/2/2016 0:00:00
361,24/5/2011 0:00:00
362,4/12/2011 0:00:00
363,14/6/2018 0:00:00
364,18/11/2015 0:00:00
365,4/2/2015 0:00:00
366,11/4/2017 0:00:00
367,24/3/2010 0:00:00
368,19/4/2015 0:00:00
369,16/2/2011 0:00:00
370,19/9/2017 0:00:00
371,8/5/2010 0:00:00
372,13/2/2020 0:00:00
373,5/2/2013 0:00:00
374,15/12/2015 0:00:00
376,27/11/2019 0:00:00
377,23/5/2018 0:00:00
378,23/8/2014 0:00:00
379,26/12/2019 0:00:00
380,27/1/2016 0:00:00
381,25/3/2012 0:00:00
382,15/3/2016 0:00:00
383,30/5/2016 0:00:00
384,27/7/2020 0:00:00
385,30/9/2015 0:00:00
386,23/1/2020 0:00:00
387,23/9/2010 0:00:00
388,18/1/2018 0:00:00
389,11/7/2015 0:00:00
390,17/11/2016 0:00:00
391,8/11/2017 0:00:00
392,16/1/2012 0:00:00
393,5/6/2017 0:00:00
394,27/3/2012 0:00:00
395,27/8/2019 0:00:00
396,30/10/2016 0:00:00
398,14/9/2013 0:00:00
399,15/9/2013 0:00:00
